class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,adult_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo lineatus,NA,Red-shouldered Hawk,545.968,3.2,1,616,22.41666667,57,33,42,20,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo nitidus,NA,Grey-lined Hawk,726.936,2,NA,510.5833333,NA,43.2,32,42,NA,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo oreophilus,NA,Mountain Buzzard,NA,2,NA,700,NA,NA,NA,NA,NA,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo plagiatus,NA,Grey Hawk,726.936,2,NA,510.5833333,NA,43.2,32,42,NA,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo platypterus,NA,Broad-winged Hawk,584.4,2.5,1,437,18.33333333,41.75,29.5,39.75,16.32,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo regalis,NA,Ferruginous Hawk,730,3.75,1,1469.5,23.7,80,33.25,46,20,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo ridgwayi,NA,Ridgway's Hawk,NA,2,NA,NA,NA,NA,NA,NA,NA,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo rufinus,NA,Long-legged Buzzard,726.936,3.25,1,1174.5,8.5,73,33,46.5,8.5,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo rufofuscus,NA,Jackal Buzzard,1090.404,2,1,1062.333333,NA,71,39.5,48.5,NA,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo socotraensis,NA,Socotra Buzzard,726.936,3.25,1,1174.5,8.5,73,33,46.5,8.5,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo solitarius,NA,Hawaiian Hawk,1095.7275,1,0.5,505,17,62,38,61,17,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,NA,Swainson's Hawk,730,2.5,1,969.57,24.08333333,61,32.75,43,16,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo trizonatus,NA,Forest Buzzard,NA,2,NA,700,NA,NA,NA,NA,NA,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Buteo,Buteo ventralis,NA,Rufous-tailed Hawk,NA,2,NA,1210,NA,NA,NA,NA,NA,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
