class	order	family	genus	species	common_name	female_maturity_d	litter_or_clutch_size_n	litters_or_clutches_per_y	adult_body_mass_g	maximum_longevity_y	egg_mass_g	incubation_d	fledging_age_d	longevity_y	adult_svl_cm
Aves	Accipitriformes	Accipitridae	Circaetus	fasciolatus	Southern Banded Snake Eagle	NA	1	NA	1021.5	NA	NA	NA	NA	NA	57
Aves	Accipitriformes	Accipitridae	Circaetus	gallicus	Short-toed Snake Eagle	1274.436	1	1	1717.25	17.3	136	46.5	72.5	17.3	66
Aves	Accipitriformes	Accipitridae	Circaetus	pectoralis	Black-chested Snake Eagle	1274.436	1	1	1717.25	17.3	136	46.5	72.5	17.3	66.5
Aves	Accipitriformes	Accipitridae	Circus	aeruginosus	Western Marsh Harrier	819.335	4.75	1	607	20.1	40	34.5	37.5	18.2	48.5
Aves	Accipitriformes	Accipitridae	Circus	approximans	Swamp Harrier	NA	3.77	NA	752.5	18	40	NA	NA	17.25	54.5
Aves	Accipitriformes	Accipitridae	Circus	assimilis	Spotted Harrier	NA	3	NA	521.25	NA	42	NA	NA	NA	55.5
Aves	Accipitriformes	Accipitridae	Circus	buffoni	Long-winged Harrier	NA	3.75	NA	519.5	NA	NA	NA	NA	NA	53
Aves	Accipitriformes	Accipitridae	Circus	cinereus	Cinereous Harrier	NA	3.75	NA	468.5	NA	NA	NA	NA	NA	43.5
Aves	Accipitriformes	Accipitridae	Circus	cyaneus	Hen Harrier	584.4	4.5	1	436.5	17.1	31	31	36.25	16.74983333	46
Aves	Accipitriformes	Accipitridae	Circus	hudsonius	Northern Harrier	584.4	4.5	1	436.5	17.1	31	31	36.25	16.41666667	45.75
Aves	Accipitriformes	Accipitridae	Circus	macrosceles	Malagasy Harrier	NA	4	NA	655.75	NA	NA	NA	NA	NA	48.5
Aves	Accipitriformes	Accipitridae	Circus	macrourus	Pallid Harrier	726.936	4.5	1	383.5	13.5	28	29.5	40	13.4585	45
Aves	Accipitriformes	Accipitridae	Circus	maillardi	Reunion Harrier	NA	4	NA	655.75	NA	NA	NA	NA	NA	48.5
Aves	Accipitriformes	Accipitridae	Circus	maurus	Black Harrier	NA	3.5	NA	532	NA	33	35	NA	NA	46
Aves	Accipitriformes	Accipitridae	Circus	melanoleucos	Pied Harrier	-30258.711	4.5	1	375	NA	28	31	40	NA	46.5
Aves	Accipitriformes	Accipitridae	Circus	pygargus	Montagu's Harrier	819.335	4.25	1	315.5	16.3	24	29.25	37.5	16.23333333	44
Aves	Accipitriformes	Accipitridae	Circus	ranivorus	African Marsh Harrier	NA	3.565	NA	494.5	NA	32.75	34	38.5	NA	46.5
Aves	Accipitriformes	Accipitridae	Circus	spilonotus	Eastern Marsh Harrier	NA	4.6	NA	562.25	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Circus	spilothorax	Papuan Harrier	NA	4.6	NA	562.25	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Clanga	clanga	Greater Spotted Eagle	1453.872	2	1	1934.65	NA	110	42.5	62.5	NA	65
Aves	Accipitriformes	Accipitridae	Clanga	hastata	Indian Spotted Eagle	1272.138	2	1	1431.666667	26.1	87.5	42.5	58	24.2	61
Aves	Accipitriformes	Accipitridae	Clanga	pomarina	Lesser Spotted Eagle	1272.138	2	1	1431.666667	26.1	87.5	42.5	58	24.2	61
Aves	Accipitriformes	Accipitridae	Cryptoleucopteryx	plumbea	Plumbeous Hawk	NA	NA	NA	482	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Elanoides	forficatus	Swallow-tailed Kite	NA	2	1	442.625	NA	36.75	28	40.5	NA	57
Aves	Accipitriformes	Accipitridae	Elanus	axillaris	Black-shouldered Kite	NA	3.75	NA	265.5	NA	23	NA	NA	NA	35
Aves	Accipitriformes	Accipitridae	Elanus	caeruleus	Black-winged Kite	363.468	3.5	1.5	248	6	21	26	32.5	6	34
Aves	Accipitriformes	Accipitridae	Elanus	leucurus	White-tailed Kite	726.936	4	1.5	311.65	6	23.9	30	37.25	5.9	39
Aves	Accipitriformes	Accipitridae	Elanus	scriptus	Letter-winged Kite	NA	4.5	NA	315.8	NA	26	NA	35	NA	35.5
Aves	Accipitriformes	Accipitridae	Erythrotriorchis	buergersi	Chestnut-shouldered Goshawk	NA	NA	NA	575	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Erythrotriorchis	radiatus	Red Goshawk	NA	2	NA	937.5	NA	NA	NA	NA	NA	53.5
Aves	Accipitriformes	Accipitridae	Eutriorchis	astur	Madagascan Serpent Eagle	NA	1	NA	NA	NA	NA	NA	NA	NA	61.5
Aves	Accipitriformes	Accipitridae	Gampsonyx	swainsonii	Pearl Kite	NA	2.5	2	92.9	NA	NA	35	35	NA	22.5
Aves	Accipitriformes	Accipitridae	Geranoaetus	albicaudatus	White-tailed Hawk	1095.75	2	1	889	6.5	70	31.2	50.5	6.5	52
Aves	Accipitriformes	Accipitridae	Geranoaetus	melanoleucus	Black-chested Buzzard-Eagle	NA	2	NA	2433.75	42	98	NA	NA	42	68
Aves	Accipitriformes	Accipitridae	Geranoaetus	polyosoma	Variable Hawk	NA	2	NA	880	NA	NA	NA	NA	NA	50.5
Aves	Accipitriformes	Accipitridae	Geranospiza	caerulescens	Crane Hawk	NA	2	NA	303	NA	39	NA	NA	NA	46
Aves	Accipitriformes	Accipitridae	Gypaetus	barbatus	Bearded Vulture	2544.276	1.5	1	5606.041667	40	220	55.75	107.5	40	109.5
Aves	Accipitriformes	Accipitridae	Gypohierax	angolensis	Palm-nut Vulture	1453.872	1	1	1600	27.1	107	44	90	27.1	61
Aves	Accipitriformes	Accipitridae	Gyps	africanus	White-backed Vulture	2180.808	1	1	5442.5	19.7	214	57	125	19.7	84
Aves	Accipitriformes	Accipitridae	Gyps	bengalensis	White-rumped Vulture	NA	1	1	4871	17.2	204	48.5	91.32	17.2	80
Aves	Accipitriformes	Accipitridae	Gyps	coprotheres	Cape Vulture	1729.537	1	1	7862	41.4	248	54.75	115	19.7	100.75
Aves	Accipitriformes	Accipitridae	Gyps	fulvus	Griffon Vulture	1460	1	1	7436	41.4	252	54	113.75	41.4	101.5
